Star Rating,Review Title,Review Description
5.0 out of 5 stars,Best Smartphone under 20k with amoled display,Amazing phone and fast delivery from Amazon. Thankyou for that one day delivery option. Best phone with amoled display and screen fingerprint sensor. I ordered 8/256gb for 20k. Very lightweight and amazing sound quality with dual speakers. Also good camera quality.Read more
4.0 out of 5 stars,Amazing product,"Amazing battery backup doesn't heat up, nice camera and sound quality.performance is also great according to the price.  Overall a durable and quality product.Read more"
5.0 out of 5 stars,Very good 👍,At this price this phone is good 😊Read more
4.0 out of 5 stars,Good,The product is good loved it value for moneyRead more
5.0 out of 5 stars,Absolutely Good,No issues till nowYou can buy it for students daily use or for your parents who are started to useTotally worth on this priceRead more
4.0 out of 5 stars,Best deal at 8000 segment,"According to price , it is the best . Screen is large , speakers are loud , long lasting battery,light weight and usable camera. Best for giving to grandparents who want to learn using smartphoneRead more"
5.0 out of 5 stars,Good entry level phone,This is a good entry level phone with good large 6.7 in display. Large battery and android 16 with one ui 8. A great phone for normal use. Don’t expect much from camera and gaming performance as it is an entry level phone.Read more
5.0 out of 5 stars,Good product in affordable Prices,A very Good product in affordable Prices and For Gifting this to someone special is very satisfactory. Very Attractive Product at affordable Prices.Read more
4.0 out of 5 stars,"A good, solid phone at this price-point","This is marketed as a budget phone. Nonetheless, it has the quality and feel of a midrange product. It does all the essentials well, including Internet browsing, WhatsApp, etc. The only slight issue has been dropped wi-fi connection despite close proximity to the router. It'll switch to mobile data connection and this could consume a lot of data if you don't realise. You can change connection settings to avoid rapid switching from WiFi to data.Read more"
5.0 out of 5 stars,A quality phone with decent specs.,"This phone is purchased as a gift for an old person and she likes it a lot. The phone looks good, build quality is decent for the price, screen although not a FHD panel, is crisp & colourful and the phone is fast enough for general applications like WhatsApp and youtube. Camera takes good pictures and videos. Speaker is loud enough and call quality via microphone is also very good. She doesn't game so not sure about the gaming experience. I can't comment on the battery performance as I didn't check and she's almost always at home so battery may not be an issue for her. It's a 4G only phone so no 5G connectivity but it doesn't matter to us. Oh, and it will receive six Android updates.All in all, a good phone for the price.Read more"
3.0 out of 5 stars,Ok,It's ok for the price but it would be great if it has 5gRead more
4.0 out of 5 stars,Phone Review (After 3 Months of Use),"**Note:** I have been using this phone for the last 3 months for basic usage. It is working well, so you can trust it for normal use.### ✅ Pros1. **4G Support:** Since 4G coverage is widely available, the phone works well for everyday use.2. **Battery:** 5000 mAh battery provides excellent backup and easily lasts up to 2 days.3. **Display:** Samsung PLS LCD display with good quality and smooth touch response.4. **Performance:** Helio G99 processor delivers good speed for daily tasks.### ❌ Cons1. **No 5G Support:** The phone does not support 5G bands.2. **Camera:** Camera quality is average.3. **Limited RAM:** Although it has 4GB RAM, only about 1GB is usually free. This may cause issues with future Android updates and multitasking.4. **Performance Drop:** Installing many apps may slow down the phone due to limited RAM and storage.5. **Software Updates:** Samsung promises 6 generations of Android updates, but with only 4GB RAM and 64GB storage, future updates may affect performance and storage.### 📌 ConclusionThis is a basic smartphone suitable for calling, messaging, and light app usage. Do not expect high performance or advanced features.Read more"
5.0 out of 5 stars,Must Read! Highly Recommended,"Amazing performance, display is good, battery is superb, overall satisfied. I really don't care about the cameras but still it's good enough for daily usage. I have a secondary iphone 16 pro for camera. But since this is my primary phone for all other stuff and work I needed the best performance to battery ratio phone which this one delivered it perfectly well. Looks & Feel is premium too. I chose this overall iQOO 15r & Poco X8 Pro Max due the OS stability (ads free & feature loaded) and overall brand reliability. I have used Realme, Xiaomi, Moto & Samsung. But by fast the longevity & reliability wise I prefer oneplus -> Samsung -> Realme -> Xiaomi -> Moto -> iQOOReason being if anytime I need to replace screen or anything then fixing 1+, realme & Samsung have the best availability and repairability. So after sales is very important which brand like Samsung, Oneplus & Realme comes to top place.Also, regarding the price to value is it completely worth purchasing it because amid Ram price increase & war tensions going all over the world, it is highly likely phone prices are going to even much higher. So! Worth value for money purchaseRead more"
5.0 out of 5 stars,Happy to Purchase one more Oneplus,"It is nice. I gifted the phone to my wife. Earlier she was using the same brand of handset. She wanted to upgrade in the same brand because of it’s camera quality, it’s speed and use of handset is outstanding. Heating is quite normal in phones. When it’s getting charge. Connectivity in terms of great earlier it was 4 g handset now it’s 5 g so i can feel the difference.Read more"
4.0 out of 5 stars,A really good phone which tries to meet everyone's expectations and in budget.,"Got this beauty on Dec 23. Upgraded from iqoo3( yes, the first iqoo phone in India) after almost 5 years. Must say the previous one really held its ground.Coming back to 15r, this is pretty good upgrade as I am not very frequent camera user and gaming was my major priority. This phone really delivers on that front. Performance is smooth and you can get 110-115 avg fps in bgmi. Battery at 7400 mah is a really good, no complaints there. Camera is pretty good as well for the price. It has the same primary camera as the oneplus 15. Gives amazing results in daylight. If you know a little about photography then you can make a good use of this camera as well. UI is smooth and haptics are a little weak but not a deal breaker. Overall this phone is bang for the buck. I did consider waiting for the new iqoo neo 11 but the UI has lots of ads and I wanted a little cleaner experience. Go for it, as new phones are going to get pricey anyway.Read more"
5.0 out of 5 stars,Good smartphone,This phone is really good. Pretty fast and meets my expectations. I was an iphone user and transitioning to android now. The performance of the phone is excellent so far.Read more
5.0 out of 5 stars,"Amazing battery and performance, okay camera.","This is a great phone overall, the battery is the best I've ever had in a smartphone. I fully charge it in the morning and when I return home in the evening at 7 pm, the battery is still around 80%! I routinely end the day at around 65% battery, it can last 2 full dyas on normal usage. The charging is also super fast, it goes from 0 to 65 in under 30 minutes, and the fast charger is included in the box.The screen is fantastic, 120 Hz display and bright colours. The performance is also top notch, the phone feels very snappy and quick, I don't bother closing apps because the phone can hold as many apps as I want without slowing down. The only thing that's not the best in class, is the camera. The main camera is still very good, 50 megapizels and takes great photos, which are processed with AI to enhance their features. The ultrawide is not that good, and the front camera is average for the price. It's not a bad camera setup at all, still very good, but certainly below what you expect from a 50k phone.In summary, performace, battery and screen are amazing, camera is good but not great. If you want a reliable and fast phone that has a monster battery and super fast charging, go for this one.Read more"
5.0 out of 5 stars,"Smooth Performance, Great battery, Good Camera (with one miss)","I’ve been using the OnePlus 15R for some time now, and it’s a really solid all-rounder with strong performance and reliable battery life.👍 What I liked:Fast & smooth performance: Handles everything easily — multitasking, gaming, daily use, all super fluid.No heating issues: Even during longer gaming sessions, the phone stays stable without noticeable heating.Great display: The AMOLED screen is bright, smooth, and perfect for content and gaming.Good main camera: The primary lens performs really well and captures sharp, detailed photos. It’s actually the same main sensor as the OnePlus 15, which is impressive at this price.Strong battery life: Easily lasts a full day with heavy usage.Clean software: OxygenOS is smooth and user-friendly.👎 What could be better:No telephoto lens: This is the biggest downside. While the main camera is great, the lack of a dedicated telephoto camera is disappointing for zoom shots.No wireless charging: Would have made it more complete.🤔 Final verdict:The OnePlus 15R is a powerful and reliable smartphone with great performance, solid battery life, and a surprisingly good main camera. The only real drawback is the missing telephoto lens.👉 Best for: Performance users, gamers, and casual photography👉 Not ideal for: People who want advanced zoom photographyEven though I used Chatgpt to write this review but written information is given by me with personal experience 😁Read more"
5.0 out of 5 stars,"Great device, average camera.","Great device, average camera.Read more"
5.0 out of 5 stars,Display that actually matters The curved AMOLED screen—it’s practical n awesome.,"Chowhan Enterprises.My honest experience with Redmi Note 15 5GI’ve been using the Redmi Note 15 5G as my daily driver, and over time it stops feeling like just “another phone” and starts feeling like part of my routine. The moment you pick it up, it feels comfortable and light, yet solid—not slippery, and not bulky in your pocket. I actually prefer using it without a cover because the smooth finish and slim profile make it pleasant to hold, though I do keep it safe since we all know phones can slip.Display that actually mattersThe curved AMOLED screen hasn’t just looked good in pictures—it’s practical. While commuting on bike taxis or Rapido in bright sunlight, I can glance at maps, messages, and notifications without tilting or shading the screen. Videos and reels feel bright and satisfying because of the clarity and color pop, especially when I watch them after work.Everyday performance that doesn’t make you think twiceFor daily tasks like replying on WhatsApp, switching between apps, managing emails, scrolling social media, using UPI apps, and playing music simultaneously, this phone just keeps up. The UI feels responsive, and multitasking feels natural. I don’t have to rearrange my usage or close apps constantly—it just flows.Battery life & chargingOn a typical day filled with mixed use, the battery comfortably lasts until night without anxiety. When I do need a top-up, the fast charging is genuinely handy—just a short break and I’m good to go again.A standout with Bluetooth audioPairing with my Xiaomi Buds 6 was instant and effortless. Call quality feels crisp even while riding with a helmet on, and noise cancellation has been surprisingly effective. For me, this pairing feels like the phone was built to work with those earbuds.The feel of using it every dayThere’s something subtle but emotional about a phone that doesn’t draw attention to itself with stutters or glitches. It just works. Whether I’m juggling messages, calls, music, or videos, it feels like a reliable companion, not a distraction.Overall, this phone gives me everyday comfort, a display I genuinely use outdoors, solid performance for my routines, and a seamless Bluetooth audio experience. It’s not just specs on paper—it’s how it fits into my day, and that’s what makes me glad I chose it.Read more"
5.0 out of 5 stars,Good phone,The media could not be loaded.This review is after using the phone for two weeks and I am very satisfied with the phone. Display is very crisp and clear even in the sunlight. Sound is also very good and camera quality is not upto the mark. I don't feel 108mp camera is as sharp as I feel. The quality is not upto the mark when zoom the picture. On the contrary video quality is very good which is allowing 4k 30fps quality. Battery backup is also decent which will last long 1.5 days after heavy usage for calls and streaming apps like YouTube and instagram. It's value for money. No heating issue and not hanging even multiple apps opened and switching between them.Read more
4.0 out of 5 stars,Redmi Note 15 5G,"Good quality, features and Performance. Value for Money. (Unlike Note 13 5g ,worst product)Read more"
5.0 out of 5 stars,Redmi Note 15 a hero..,"It's a masterclass in balancing premium aesthetics with rugged durability. Having used it for a week, I am thoroughly impressed by its ""Titan Durability""—featuring an IP66 rating and MIL-STD 810H certification—which is rare at this price point. The Curved AMOLED screen is a showstopper. With a staggering 3,200 nits peak brightness, visibility under direct sunlight is flawless. The 120Hz refresh rate makes HyperOS 2 feel incredibly fluid, while the slim 7.4mm profile ensures it feels much more expensive than it is.Powered by the Snapdragon 6 Gen 3, it handles daily multitasking and social media with ease. The star of the show, however, is the 108MP OIS main camera. Daylight shots are crisp with natural colors, and the OIS significantly improves 4K video stability and low-light performance. The 5,520mAh battery easily lasts 1.5 days, and the 45W charging gets you back to full quickly. While it’s not a heavy gaming machine, it is the perfect all-rounder.Read more"
5.0 out of 5 stars,Excellent Value for Money – Highly Recommended!,"I’ve been using the Redmi Note 15 for a while now, and I’m extremely satisfied with the performance and overall experience. The design looks premium and feels solid in hand. The display is bright, sharp, and perfect for watching videos or scrolling on social media.Performance-wise, the phone is smooth and responsive, even with multitasking and regular gaming. The battery life is impressive and easily lasts a full day with heavy use. Charging is fast and convenient.The camera quality is surprisingly good for the price segment. Photos come out clear with good color accuracy, and the night mode works well. Call quality and network reception are also excellent.Overall, the Redmi Note 15 offers great features at a very reasonable price. Definitely a 5-star product and a great choice for anyone looking for a reliable smartphone.Read more"
3.0 out of 5 stars,"Ok mobile, with worst sound system.","Very slim and sleek mobile. The curve shave looks good but it ain't useful. Performance wise it is ok but not the best in the price range I guess. Weightless, so feels good to hold. Worst part is the sound, it's just horrible and painful to the ears to listen to music. Overall, if you want good music avoid this mobile.Read more"
5.0 out of 5 stars,Good Phone,"A worth purchase, the mobile is very sleek and feels good to hold in hand, sound quality of phone is good, phone seems sturdy, camera is good for the cost.Read more"
4.0 out of 5 stars,Performance,Great cell phone.. I have always been Redmi fan and enjoying the upgrade with this. Still have bit battery issues but the performance it up to the mark.Read more
5.0 out of 5 stars,Redmi Note 15 Pro Plus,"The Redmi Note 15 Pro+ is an impressive handset that delivers excellent performance at a great value. Its sleek design, vibrant display, and powerful processor make everyday tasks smooth and enjoyable. The camera system captures sharp, detailed photos, while the long-lasting battery ensures you stay connected throughout the day. Overall, it’s a well-balanced phone that combines style, speed, and reliability—perfect for anyone looking for a premium experience without the premium price what more I also got a Redmi Watch absolutely freeRead more"
5.0 out of 5 stars,Redmi Note 15 Pro+,"The Redmi Note 15 Pro+ delivers excellent value for money. The 120Hz AMOLED display is bright, smooth, and perfect for content consumption. The 200MP main camera captures sharp and vibrant photos, especially in daylight. Battery life is impressive — the large battery easily lasts a full day, and fast charging is a big plus.Performance is smooth for daily use, multitasking, and casual gaming. The design feels premium and durable.Overall, it’s a solid mid-range smartphone with flagship-like features at a competitive price. Highly recommended for users who want great display, camera, and battery without overspending.Read more"
5.0 out of 5 stars,Durability,"Value for money it's a good premium phone. Iam upgrading after 6 years of service from my redmi Note 9. The Redmi Note 15 pro plus feels solid in terms of durability. The display is adaptive and very clear, the sound clarity is great with Dolby Atoms on ear pods it also has dual in built speakers for music lovers. Love the Coffee Mocha colour gives a vintage look and feeling. After checking all the global rating I am happy. Over all a good premium phone with a lot of features. The battery charges quickly. Can't wait to check out the gameing performance. All settings can be ajusted as per individual user preference. All the best.Read more"
1.0 out of 5 stars,Poor Product,"I am writing to express my extreme dissatisfaction with the handling of my recent mobile phone purchase. The device I received is faulty and plagued with multiple issues, making it unusable. Despite this, your customer support team has refused to accept a return, citing policy restrictions, and instead directed me to visit a service center.This response is pathetic, unacceptable, and completely against the principles of customer satisfaction that Amazon claims to uphold. As a customer, I should not be forced to waste time and effort dealing with a defective product that was sold to me in the first place.I demand the following:- Immediate approval of a return and full refund for the faulty mobile phone.- A clear explanation of why Amazon is denying responsibility for defective products.- Assurance that such negligence will not be repeated in the future.If this matter is not resolved promptly, I will have no choice but to escalate further through consumer forums, social media, and legal channels. I expect Amazon, as a global leader in e-commerce, to act responsibly and prioritize customer trust over rigid policies.I urge you to take immediate corrective action and provide a resolution without further delay.Read more"
4.0 out of 5 stars,Average... Good working,"Good in Use.... Smooth working. Seamless interface... Nice Camera, too good connectivity, only charging by its own charger successful by other low walt (like 33w, 45w) charging it's became heat... Please take care about itRead more"
5.0 out of 5 stars,Good,"Very excellent phone with excellent camera, excellent battery, excellent display, excellent design and excellent performanceRead more"
5.0 out of 5 stars,Value for money,"Great product...I was using Google Pixel 7 Pro ...broken the display twice and paid almost INR 35K for display replacement....This phone, its camera and battery all working so goodRead more"
5.0 out of 5 stars,Excellent,"Amazing phone from Redmi ! The design is sleek, display is crisp and bright, and the performance is super smooth with 8GB RAM + 256GB storage. The camera quality is top-notch, especially in low light. Battery backup easily lasts a full day with fast charging support.Read more"
5.0 out of 5 stars,A fantastic multimedia and travel phone!!,"A fantastic multimedia and travel phone for those who value a massive battery and a rugged build over raw processing speed.Pros & ConsPros:Insane Battery Life: The 6580mAh battery is a standout, easily lasting 2 days of moderate use. Xiaomi even guarantees 6 years of battery health (retaining 80% capacity after 1600 cycles).""Tank"" Build: It carries extreme IP69K ratings (handling high-pressure steam/water jets) and can survive drops from up to 2.5 meters.Stunning Display: The 3200-nit peak brightness makes it one of the most visible screens outdoors in its price bracket.Detailed Main Camera: The 200MP sensor takes sharp, vibrant landscape shots in good lighting.Cons:Average Charging: At 45W, it takes about an hour to charge the massive battery—slower than many competitors.Middling Performance: The Dimensity 7400-Ultra handles daily tasks smoothly but struggles with high-end gaming at maximum settings.Storage Speed: It uses UFS 2.2 storage, which feels a bit dated for a ""Pro"" model in 2026.Secondary Cameras: The 8MP ultra-wide is just ""okay"" and lacks the punch of the main sensor.If you are someone who drops their phone often, travels frequently without a charger, or watches a lot of movies on the go, this is a top-tier choice.Read more"
5.0 out of 5 stars,Redmi note 15 pro 5g,"Good compact size phone. After using of 2-3 days. Over all good phone.Smooth display and performance.Feel good slimnessBattery easily a day with heavy useGood connectivityCamera is good but not feel 200mbpsI'm not gammer so not try. But haveli using Internet, social and browsing. It's does the job.I upgraded my Redmi 12 5g to Note 15 pro . Cost wise too high.  This should be 25k rangeRead more"
1.0 out of 5 stars,Every things in the phone has some fault and proper working,"Price is too high as compare to  vivo oppo and motorola handset of sane feature... Hang problem, customer care asked charged for repair whether phone is in warranty period.. Next I humble request to all citizens of India please not buy xiomi redmi phone..Read more"
5.0 out of 5 stars,Nice one,"I don't face any kind of issue in the device good battery, not heating problem , durable , camera is good.overall a good device , smooth performance and best in budget.Read more"
5.0 out of 5 stars,Outstanding Phone by XIAOMI,Outstanding product ⭐️⭐️⭐️⭐️⭐️.Best in this price segment . HUGE battery backup really impressed.  The phone is very light weight and has full amoled display loved playing videos . The phone also came with good stotage of 128 gb . I liked how the looked and felt in hand . Thank you Redmi for an awsome phone affordable for everyone..Read more
4.0 out of 5 stars,Camera Phone,Great CameraGood touch responseBattery capacity is goodPrice is little expensive 32kDisplay resolution goodSim tray quality not goodWeight management good as per big batteryLook wish goodIn-hand feel good 👍🏻Read more
5.0 out of 5 stars,Awesome Product from Xiaomi,"The 200MP main sensor captures excellent detail, especially in landscapes and architectural shots, producing sharp and vibrant images.Featuring “Titan Durability,” the device carries an IP69K rating, offering protection against high-pressure water jets and submersion. It is also SGS-certified for drop resistance of up to 2.5 metersThe massive 6,580mAh battery easily delivers up to two days of usage under normal conditions and is paired with a 45W charging adapter for quick top-ups.Read more"
5.0 out of 5 stars,Superb Model.,Very fabulous design with build quality & also look is so nice battery back -up so powerful with camera picture very natural & Processer was so smoothRead more
5.0 out of 5 stars,Monsterously Amazing Galaxy !,"Bought it after almost 5 months of intense research and won't regret my decision now. Writing this after using the device for 7 days.Display is magnificent.Performance is A+Battery is coming up good so far, with almost 55-58 hrs backup in single charge. Bought original Samsung 45W adapter.Camera quality is amazing. Crisp photos and better quality. Use is as feather with 120 Hz screen refresh rate. Premium feel with very light weight. Haven't used any games but only Candy Crush that too in leisure time, that too smooth experience.Overall this monster is best in segment in all areas. 4nm built Exynos 1480 is doing a great job in there along with Xclypse GPU. It's X factor is 2.75 GHz processor, sAMOLED display, and Bixby which makes this monster huge one within 25k budget.Read more"
4.0 out of 5 stars,GALAXY IS NOT BAD,"Battery ,Processor, and dual speaker is the only compromise.One UI , 6 x 6 updates, light weight, slim ,premium look,display quality, galaxy eco system,voice focus,camera quality,Non Chinese brand with international brand value .This are the sacrifice for the compromisesRead more"
5.0 out of 5 stars,Good phone with great features!!!,Sleek and stylish design with good performance!! Every colleagues asking me which model is this?? Software in Samsung is always great. UI feels smooth.. I'm not a gamer so battery lasts for a full day. I mainly got this for 7 os gen updates. In description it's mentioned as Android 15 but For my surprise I got Android 16 out of the box which is great!!! Glass back so get a case for safety. I bought niukin ripple wave soft back cover. It's great l. Aesthetic and classy case.Read more
5.0 out of 5 stars,Amazing product,"Best in segment Phone. The build quality, camera, User interface everything is top notch at the price.This smartphone gives full value of every penny you spend.Read more"
5.0 out of 5 stars,Amazing product,"Really good phone. I like it. Display is very good. Camera quality, smoothness, sound Quality. Everything is good. Samsung just need to give much more charging power in lower end devices. 24 and 45 watt are too lessRead more"
4.0 out of 5 stars,Simply this Samsung phone is Very 👌 Awesome.,"This phone is really excellent. The camera is outstanding — I compared it side by side with other phones around the ₹30,000 range, but this one clearly has a much better camera. The pictures are very clear with great quality, and the OIS works really well. It is visibly better than other brands.The display is also excellent. The colors are very vibrant and the screen is extremely smooth. Using the phone feels very enjoyable and smooth.The battery performance is also very good. One full charge easily lasts a full day even with heavy usage.Apps open very fast and the phone feels very smooth overall. Games like BGMI also run smoothly; I have played it without any issues.One small drawback is that it has a single speaker. However, it is not bad at all — the speaker is loud and the sound quality is good. Still, if it had stereo speakers, it would have been even better.I am giving this phone 4 stars only because of the single speaker.Overall phone is very good and Balanced around 25,000.Read more"
5.0 out of 5 stars,Nice phone for daily use.,"Using this phone since 15 days.. so far so good for daily use. Phone is handy, light weight, good front n back camera. Screen brightness and auto adjust is works well.Read more"
4.0 out of 5 stars,good product but beware of exchange offers,"Happy with the product.Pros:* samsung reliability/usability* decent cameras* good product. no major issuesCons: (not really major issues)* no sd card slot* no earphone portOverall happy with product.Exchange was a scam though. Had to pay extra 1700 rupees during exchange even though old phone had no issues or scratches. In fact, the exchange person also lied that the old phone had come with a charger and they needed it. I told them I cannot find it and paid the extra money. Later checked and saw the old phone never came with a charger. So the exchange process is scammy...Read more"
5.0 out of 5 stars,Value for money,Good quality productRead more
4.0 out of 5 stars,Little bit slow in performence.,Camera in the phone is best in this price segment. OIS is good. Daylight photography is perfect. Camera is struggling in low light.Read more
5.0 out of 5 stars,Nice phone,"Good product. I can purchase this phone. This phone is not for gaming but better for daily use. No lag issue if your budget around 16k, I will recommend you.Read more"
5.0 out of 5 stars,Samsung Galaxy M17 5G Mobile - Good mobile in middle range.,"Received instrument in 5 hrs. Thanks for quick delivery.Good mobile features as camera, Good charging speed.Read more"
3.0 out of 5 stars,Premium look & build quality but performance bit slow,"Pro :1. Overall phone is good in terms of build quality-premium look and UI,2. Camera quality is good with natural colours if compared with Chinese brands with high camera specifications.Cons:1. phone gets heated quickly with normal usage2. performance is slow/lagging.3. Battery drains quickly.Read more"
4.0 out of 5 stars,Best option in this budget,"The look, the design, body size, performance, specially the amoled colors are awesome. Battery seems little poor but yes overall it's good under this budget.Read more"
5.0 out of 5 stars,Very good,Value for moneyRead more
4.0 out of 5 stars,Average Phone Samsung M17,"Average phone, Average camera, Battery good (once fully charged running 6-8 hrs fully load and standby 30-32 hrs), Display average ( only 1080 pixel video running_ not 1440 and up), Heat Level good not more heating after playing games and other works, Speed Average.Good Network Connectivity_best net SPEED..Read more"
5.0 out of 5 stars,"Powerful, Premium & Worth Every Rupee ,Samsung Galaxy S24 8GB 128GB","I purchased the Samsung Galaxy S24 (8GB RAM, 128GB Storage, Snapdragon 8) on 26th January and received it on 3rd February. I bought this phone for my brother, and it arrived in perfect condition with smooth delivery. I purchased it for ₹40,999, and I feel it offers excellent value for a premium flagship smartphone.From the moment he started using it, the phone felt fast, smooth, and extremely responsive.The display is stunning  bright, sharp, and vibrant. Watching videos, browsing, and using social media feels very enjoyable. The compact and premium design makes the phone comfortable to hold, and the build quality feels solid and high-end.The camera performance is impressive, especially in daylight. Photos come out clear, detailed, and well-balanced. Night mode also does a good job, and videos look stable and sharp.Battery life easily lasts a full day with moderate to heavy use, and quick charging helps when you need a quick top-up.One important suggestion: do not forget to extend your warranty. Samsung phones are premium devices, and repair costs can be expensive. An extended warranty gives peace of mind and is worth considering.Read more"
5.0 out of 5 stars,Received Original Product – Fully Satisfied,"I recently ordered the Samsung Galaxy S24 (Snapdragon, 8GB RAM, 256GB) from Amazon, and to be honest, I was a little doubtful in the beginning. Buying such an expensive phone online always makes you think twice, especially after reading mixed reviews about authenticity.But the moment I received and unboxed it, all that doubt just disappeared. The packaging was properly sealed, everything inside was original, and the phone itself looked and felt completely genuine. After setting it up and checking the IMEI and software details, it was clear that it’s a legit device.Talking about the phone, the performance is really smooth. Apps open quickly, multitasking feels effortless, and even gaming runs without any issues. The display is sharp and vibrant, just what you expect from Samsung, and the camera performs really well in both daylight and low light.Battery life is good enough for daily use, and the phone feels premium in hand. So far, I haven’t faced any heating or lag issues.Overall, if you’re someone who’s worried about getting a fake product from Amazon, my experience was completely positive. Got a genuine device, and it definitely feels like a proper flagship.Really happy with the purchase 👍Read more"
4.0 out of 5 stars,Excellent device. Totally worth it,Recived this phone in a perfect condition. Had no issues with it. Initially even i was worried reading the reviews but i had no such problem. Its been aroud a month and it works perfectly. Yes it was per activated. I recieved my phone on 18th this of feb and the expiry of my waranty is 31 jan 27. But i didn't mind that because it was only 18day. Or even it could be that im wrong.Read more
5.0 out of 5 stars,I'm loving this smartphone,"its an amazing phone, display, speakers, cameras, performance all of then are top notch the only issue is the battery it drains really fast. Still, you can adjust it from notification panel - switch it light mode it really preserve the battery without decreasing the performance. And dont worry if the product warranty is showing less it happens i also faced that issue so i talked to the samsung customer care executive . they said warranty will be valid from the date of purchase as in the invoiceRead more"
